Age,AreaTotal,AreaBsmt,AssessedValueTotal,ConstructionTypeNumber,StyleNumber,TaxAmount,MeanEnergy
1950,1061,1061,66280,2,2,5469.82,473.4991545
1956,1492,1316,78540,2,2,5947.1,301.4187591
1965,1224,588,74370,3,4,6326.36,635.8624318
1971,2977,1112,146650,3,3,8758.66,1375.362514
1968,2298,864,122230,1,4,7504.74,631.1352455
2015,3272,1605,82380,1,3,5886.08,1452.37571
1950,1215,810,55610,3,1,4501.62,429.9511714
1924,1051,855,61500,3,5,4582.38,455.284519
1929,936,936,62350,3,5,5113.2,1137.237224
1953,1082,1082,86490,3,2,5817.5,694.8065429
2005,3359,1651,222960,1,3,16719.6,2887.76059
2005,3579,1588,225990,2,3,16953.1,933.3323429
1961,2853,1621,164380,1,3,11819.94,763.6848333
1959,1355,1355,103130,2,2,7485.14,466.5134429
1956,1059,1059,63920,2,2,4801.96,588.9511048
1960,1696,576,84990,1,3,6713.86,719.3598857
1985,5031,2197,359290,2,3,13674.92,914.6181143
1959,1634,1400,90730,3,2,4707.5,400.9945571
1970,1084,567,73190,3,4,5643.12,1026.84891
1960,1231,576,63290,3,4,4744.8,775.94187
1928,1360,720,64320,1,1,5109.6,1896.3417
1952,1248,1008,61810,3,2,5064.2,630.59893
1985,3608,1936,254800,3,3,9681.56,922.758825
1984,1560,840,72830,3,3,5570.56,678.63502
1913,1968,384,73800,3,3,6152.18,2245.46359
1951,1170,780,53340,3,1,4295.64,398.563535
1931,828,828,59740,3,5,4876.38,443.0269
1943,1040,1040,81880,2,2,6431.66,612.7994368
1927,1441,942,70630,1,5,6408.98,624.1984105
2002,4802,2309,304640,2,3,23014.1,2520.719368
1986,1267,1267,69990,2,2,4260.46,603.1036632
1966,1589,473,79140,3,4,6636.74,526.5794684
1971,1443,962,63830,3,1,3289.06,312.4727684
1958,1628,351,88630,3,4,5925.24,2626.999126
1967,1466,992,81500,3,6,6057.94,902.3809632
1959,903,462,35220,2,4,2588.64,711.7278389
1954,3437,432,124450,1,4,8742.8,2025.344944
1927,1585,1585,81220,2,5,5796.68,529.1015
1952,1014,1014,65220,3,2,4583.06,440.9989944
1928,1365,910,71150,1,1,5096.88,819.54505
1923,1467,823,35550,3,1,2681.38,160.9333
1966,1115,637,74110,2,4,3961.26,406.7245333
1986,2353,840,109540,3,3,7458.4,525.6056611
1979,2176,1088,105050,3,3,8280.18,692.8877944
1959,1407,1407,87990,2,4,7277.04,1186.4433
1959,966,567,36720,2,4,2787.54,717.3775
1964,1213,613,76140,3,4,6364.52,566.3552
1931,1962,1177,58530,1,1,4312.88,1066.919347
1962,1316,1316,90380,2,2,6117.26,310.2032118
1965,1235,665,74420,2,4,4555.42,616.5583882
1966,2180,419,135380,3,4,6919.64,896.5281765
1967,1260,351,64060,3,4,3624.52,747.9988529
1962,1199,600,63980,1,4,5261.12,437.9029875
1927,1602,1068,69630,2,1,4573.06,199.311475
1959,1026,576,57610,3,4,4683.1,394.748875
1961,1033,471,59250,1,4,4831.92,887.1238625
1970,1246,637,70900,3,4,5435.34,646.4363
1975,1323,636,78080,1,4,5877.08,469.9363875
1953,1289,937,72320,3,2,6136.66,3.249275
1958,1372,1063,94810,2,4,7755.04,609.4362063
1966,1392,530,62980,3,4,4992.2,600.9363625
1951,1464,735,84840,2,1,6907.42,754.9992063
1923,1180,850,61730,3,1,5056.94,1336.811375
1932,1251,859,63330,3,5,2709.5,632.9367313
1960,1190,608,68190,3,4,5643.12,908.6865813
1950,1739,764,77150,3,1,6456.16,775.8740125
1963,2016,716,112290,1,4,8191.04,991.0143
1956,2232,504,72120,1,3,5922.24,761.9360063
1977,2164,557,143030,1,7,5183.9,646.1311438
1965,1176,756,70860,3,6,5573.3,572.665575
1952,1170,975,61630,2,2,5047.88,490.3115375
1951,1170,780,42160,3,1,3281.16,452.2489375
1958,1026,576,56750,3,4,4605.06,574.6240333
1970,1786,570,68860,3,4,5199.42,1180.75132
1960,1026,576,66670,3,4,5505.2,543.3988733
1956,1175,1175,72150,2,2,6002.46,567.4655933
1951,1248,832,90680,3,1,6140.38,805.1322467
2012,4486,1849,354890,2,3,26886.52,1271.625967
1981,2101,1681,109610,3,2,9587.14,1210.598973
1970,2476,557,130930,1,7,4905.14,807.4969067
1952,1431,1128,72390,2,2,5271.16,851.26574
1986,2888,1414,123490,3,3,10427.84,1773.99888
1958,1164,1164,67580,3,2,4415.78,644.4653733
1960,1336,1336,77600,3,2,4775.76,402.3202867
1993,3024,1463,202110,1,3,14727.52,942.4989214
1953,1260,1260,72830,2,2,5610.46,726.4819643
1952,1096,1096,62290,3,2,5208.58,469.1420571
1966,1044,550,73480,1,4,6244,737.6420214
1969,1062,522,64760,2,4,4974.48,256.9272929
1922,1440,1050,80970,2,1,6474.4,281.4275857
1967,1397,793,90310,1,4,5219.88,532.4764929
1986,1287,674,74550,3,4,6343,1020.762136
1961,1434,956,75440,3,1,6425.36,594.3225643
1953,1460,1460,81530,3,2,4683.7,425.1026286
1962,1145,645,62400,1,4,5117.74,352.3836615
1951,1314,780,38150,3,1,2917.3,651.1523
1960,1113,1113,66260,1,2,6012.44,552.4601077
1949,1674,1116,63580,3,4,5224.82,725.1525769
1978,2164,557,126280,1,7,4722.56,1047.306469
1997,3869,1882,185770,1,3,11283.26,1733.640215
1960,980,560,60090,3,4,4026.14,551.3064077
1958,1255,1255,76950,3,2,5347.58,331.7680308
1965,1325,1325,77030,3,2,4734.88,792.8447077
1973,1411,637,83800,3,4,5578.9,433.4598308
1963,1065,497,47270,1,4,3744.84,308.749325
1959,1026,576,62700,3,4,5144.96,505.998975
2005,2434,1354,111600,3,3,9771.28,1563.165667
1960,1169,1169,78830,3,6,6739.04,879.0823
1951,1320,900,70680,3,2,6540.1,713.7489417
1956,1420,504,73880,1,4,6079.88,1304.83195
1955,1116,504,62420,2,4,5590.84,592.4530083
1955,1312,504,66310,1,4,4421.08,415.0821833
1956,1430,1092,78590,2,2,5998.96,474.165675
1971,2564,1102,102200,1,3,6211.46,830.4157833
1964,2684,708,217720,2,2,8312.78,1049.410858
1969,1893,438,63240,3,2,5080.34,1391.248625
1950,1380,764,64150,3,1,5276.54,684.7262273
1951,1428,812,76300,3,1,6379.04,496.9987545
1951,1365,910,69900,3,1,5344.6,405.5448
1955,910,910,52040,3,2,4177.68,821.4533455
1954,1052,1052,60820,3,2,4974.38,508.5443909
1950,1148,765,56810,3,1,4610.5,557.9080909
1955,1098,1098,71470,3,2,5940.76,656.49911
1917,1048,748,58270,3,5,4289.28,336.7267091
1952,1008,1008,50180,3,2,4008.9,1150.271345
1958,1199,595,58130,3,4,4276.58,359.2715455
1959,1026,576,57170,3,4,4643.18,657.5446455
1961,1026,576,55050,3,4,4450.8,504.2197545
1958,936,936,61160,3,2,5005.22,705.0900909
1927,2108,1052,76770,3,3,6421.68,1345.271855
1970,1482,1482,72410,3,2,5682.34,301.2718091
1955,1030,1030,63180,3,2,4828.28,313.4533364
1975,1096,480,72490,3,4,5825.4,677.0903
1963,988,988,60590,3,2,4782.8,186.4534545
2005,3841,1877,157730,3,3,13293.52,697.3629909
1928,2400,800,81300,3,1,6832.74,815.9991727
1927,1970,1104,83700,4,5,7050.5,879.1804818
1925,2336,942,90000,3,1,7622.16,1106.998691
1956,1102,1080,62790,3,2,4615.04,560.6353
1956,1322,1322,73090,2,2,5634.06,611.3626455
1955,1497,1173,86850,2,2,7336.34,667.6353545
1949,1488,800,75600,2,1,5861.82,509.9078636
1993,2339,1108,102870,3,3,8790,1308.778345
