Temp.Box.F,Temp.Amb.F,Input.1,Input.2,Input.3,Input.4,Input.5,Input.6,Input.7,Input.8,Input.9,Input.10,Input.11,Input.12,Input.13,Input.14,Input.15,Input.16,Input.17,Input.18,Input.19,Input.20,Input.21,Input.22,Input.23,Input.24,Input.25,Input.26,Input.27,Input.28,Input.29,Input.30,Input.31,Input.32,Input.33,Input.34,Input.35,Input.36,Input.37,Input.38,Input.39,Input.40,Input.41,Input.42,Input.43,Input.44,Input.45,Input.46,Input.47,Input.48,Input.49,Input.50,Input.51,Input.52,Input.53,Input.54,Input.55,Input.56,Input.57,Input.58,Overall.Watts,Compressor.Port.Temp,Worn.Scroll.Condition,Good.Condition,HVE.Fail
30,100,70,49.19,76.32,34.97,452.54,0,302.95,306.86,165.61,78.35,92.15,92.26,78.24,302.71,5.6,3.8,3.37,7.98,9.46,73.78,26.46,163.86,110.63,165.61,34.85,29.81,36.44,35.52,108.86,100.14,105.54,93.94,107.17,107.11,52.41,105.97,18918.3,20368.92,74.63,93.47,163.61,110.86,52.75,50.36,30.02,34.49,35.09,30.02,0.47,3162.75,20.9,544.44,25.03,1173.86,0,0,4004.23,13663.01,4489.36,187.57,0,1,0
30,100,70,20.03,75.93,32.97,148.84,0,293.98,295.95,178.83,81.21,88.17,88.34,81.17,295.72,1.6,1.58,3.33,10.91,7.35,96.59,49.75,175.36,108.4,178.83,32.27,29.69,33.45,35.43,129.14,102.58,108.07,99.07,104.82,104.77,77.83,101.28,5837.42,6964.7,95.83,93.14,179.2,111.13,68.08,21.59,30.02,32.26,32.65,30.01,0.27,1539.67,11.62,222.47,5.81,144.59,41.79,209,55.97,190.96,2183.6,248.31,0,1,0
30,100,70,15.97,75.85,32.14,109.21,0,277.51,279.19,179.32,81.8,87.46,87.75,81.79,279.42,0.72,1.23,3.62,11.87,7.92,99.31,54.84,173.94,103.77,179.32,31.29,29.67,33.05,36.38,131.44,99.19,105.51,96.55,100.35,100.52,83.28,96.02,4434.16,5303.15,99.37,89.34,180.61,107.29,73.32,17.15,30.02,32.1,31.62,30.02,0.24,1253.11,5.61,159.58,4.86,125.05,42.71,215.51,0,0,1819.5,265.39,0,1,0
37,77,40,100,76.3,43.34,920.85,275.2,302.6,315.41,162.9,72.52,134.48,296.79,72.17,292.55,2.06,0.86,2.12,33.37,22.26,19.07,26.74,160.22,111.88,162.9,48.39,31.08,48.39,44.15,77.01,60.56,76.46,109.26,107.38,78.33,48.38,78.04,58417.33,52183.43,19.16,75.56,160.39,107.59,52.79,100,30.02,42.29,48.1,30.33,0.85,6985.15,50.01,608.43,50.01,1142.53,0,0,14963.98,51059.21,8842.74,175.56,0,1,0
37,77,40,77.5,76.73,37.9,745.51,0,259.47,266.22,149.88,73.78,92.83,93.21,73.59,256.23,1.08,0.6,5.02,6.91,16.41,57.99,23.15,NA,97.23,149.88,40.55,29.67,41.29,39.23,93.55,85.9,91.65,78.68,94.34,94.2,45.81,94.43,37713.52,37229.95,57.98,76.26,147.94,97.18,50.76,79.42,30.02,38.1,40.67,30.02,0.65,4253.71,50.01,615.54,50.01,1156.91,0,0,8751.93,29862.81,6103.37,161.77,0,1,0
37,77,40,48.56,76.07,34.67,459.53,0,275.39,279.47,155.67,78.29,91.4,91.51,78.1,275.17,0.7,0.7,4.43,9.7,9.42,65,24.08,155.13,102.17,155.67,35.25,29.53,36.65,35.4,99.61,88,94.47,79.45,97.53,97.38,49.93,96.9,21766.28,22179.68,65.6,74.81,153.57,104,49.58,49.96,30.02,34.55,35.59,30.02,0.46,2972.37,14.82,276.1,50.01,1176.88,0,0,4004.23,13663.01,4489.36,175.41,0,1,0
37,77,40,20.39,75.72,33.63,155.3,0,262.25,264.22,168.2,81.32,88.29,88.19,81.32,263.91,1.64,1.54,4.02,13,6.35,84.54,42.56,165.88,98.93,168.2,33.06,29.48,34.01,34.52,117.02,87.56,94.73,82.21,92.74,92.79,70.68,90.42,7346.74,7933.85,84.55,76.2,166.38,103.11,63.27,21.56,30.02,32.6,33.54,30.02,0.26,1474.2,2.26,101.94,5.47,144.84,42.09,213.35,585.75,1998.66,1953.14,228.25,0,1,0
37,77,40,13.5,73.4,31.82,83.09,0,251.3,252.79,176.08,82.2,86.93,87.06,82.19,253.2,0.53,1.06,4.07,14.99,7.58,95.85,55.44,169.5,95.79,176.08,30.98,29.54,32.44,36.33,127.68,85.32,95.39,80.7,89.74,89.83,84.21,85.45,4125.57,4397.68,95.39,74.72,177.51,100.67,76.84,14.13,30.02,31.62,31.4,30.02,0.21,1101.3,0.74,49.99,4.15,112.15,43.56,223.29,0,0,1535.06,286.31,0,1,0
40,100,60,100,77.47,54.52,1128.29,438.61,420.33,436.15,192.29,87.17,195.97,408.44,86.88,404.47,1.89,0.65,0.03,36.01,22.5,24.87,26.97,188.96,140.35,192.29,59.46,41.48,59.46,54.56,107.69,84.08,106.15,137.13,134.42,100.9,58.84,101.19,58492.11,55302.53,24.81,93.88,188.78,134.21,54.58,100,40.1,52.74,58.89,40.43,0.9,9815.07,50.01,577.78,50.01,1121.12,0,0,15134.39,51640.67,11675.92,205.09,0,1,0
40,77,37,100,77.1,55.39,1034.79,264.43,318.31,330.83,171.79,77.51,142.03,313.23,77.1,309.39,2.49,1.2,2.49,35.6,32.47,18.55,35.85,169.25,115.45,171.79,60.57,40.47,60.97,58,79.95,63.63,79.39,111.56,111.25,80.18,61.08,80.13,62682.35,59370.81,18.56,76.57,170.1,111.25,58.85,100,40.1,57.17,60.11,40.21,0.86,7297.78,50.01,592.91,50.01,1115.62,0,0,16455.19,56147.43,9118.04,182.18,0,1,0
77,100,23,79.19,77.62,89.43,1012.25,0,400.49,406.8,207.23,107.73,136.66,137.62,107.11,392.56,1.8,0.75,16.83,17.48,49.14,71.44,51.95,202.95,119.52,207.23,94.76,76.56,95.48,93.32,130.19,107.18,116.71,92.59,116.48,115.95,95.79,117.24,55684.47,46271.19,NA,96.53,203.65,128.87,74.79,81.57,77.18,93.92,95.12,77,0.72,6303.29,50.01,579.73,0,0,0,0,14683.31,50101.53,8040.75,220.55,0,1,0
77,100,23,52.1,77.15,85.59,809.55,0,346.17,353.45,180.22,133.01,155.97,156.36,132.58,341.39,1.54,1,4.76,6.36,31.83,59.91,36.81,179.9,119.66,180.22,89.37,77.02,90.06,88.94,126.93,107.64,116.06,92.54,116.17,115.79,93.69,116.96,42167.66,36783.02,59.91,95.8,180.38,119.36,61.02,52.78,77.18,88.78,89.64,77,0.53,4217.7,50.01,587.98,50.01,1061.29,0,0,10759.97,36714.55,5974.15,196.01,0,1,0
77,100,23,21.61,76.94,85.98,349.82,0,304.84,310.73,165.5,170.98,184,184.14,170.57,302.51,4.15,4.56,-0.93,1.72,11.94,52.19,24.08,NA,103.22,165.5,87.6,76.97,87.57,85.42,130.53,107.61,114.07,98.17,112.19,111.68,97.39,112.25,18469.18,16818.54,52,96.41,165.36,114.34,51.02,21.68,77.18,84.79,88.11,77.05,0.33,2147.19,31.65,447.58,4.03,97.61,43.54,202.42,4561.31,15563.82,2951.29,197.39,0,1,0
77,100,23,5.06,76.55,77.83,68.05,0,279.86,280.4,189.48,177.06,182.05,182.27,176.27,281.5,0.7,1.73,0.31,4.41,8.06,82.43,56.84,174.77,107.69,189.48,77.63,76.77,78.64,83.92,160.06,NA,NA,101.65,105.97,107.01,132.4,104.02,2423.91,3407.91,82.77,92.26,201.93,109.93,92,4.55,77.18,77.84,78.06,76.99,0.21,939.1,1.62,73.95,2.27,62.94,45.33,213.84,0,0,1344.16,321.91,0,1,0
77,77,0,100,78.28,97.69,1142.56,211.56,370.05,379.78,207.49,93.33,152.47,365.33,92.76,359.28,2.6,0.69,20.75,45.96,66.67,18.45,67.78,202.5,109.18,207.49,106.38,78.8,105.54,102.63,84.42,67.57,84.12,105.3,105.99,81.45,103.39,81.59,84000.76,68772.37,18.42,78.78,205.02,121.58,83.44,100,77.18,103.82,106.67,79.16,0.88,8102.35,50.01,592.46,50.01,1049.15,0,0,22839.12,77930.31,9864.41,218.85,0,1,0
77,77,0,78.75,76.42,91.04,963.37,0,325.74,332.3,192.89,101.93,128.8,129.22,101.53,319.22,2.45,0.96,20.72,20.67,54.15,66.63,55.64,189.95,98.91,192.89,97.22,76.62,97.57,95.14,121.47,89.24,97.27,81.28,96.38,96.39,96.38,97.36,62515.46,51880.75,66.46,76.35,191.71,112.88,78.83,80.78,77.18,96.18,97.55,77,0.69,5398.45,36.6,500.43,50.01,1061.22,0,0,16617.94,56702.76,7047,205.73,0,1,0
