Electric ($/ kWh),0.11,,Cost Ceiling Insulation Per SqFt,,,$1.40,,"Cost basement Insulation(3"") Per SqFt ",,,,$7.00,,,,Fraction_savings_Energy_Star_refrigerator,,,,,0.5,,,Cost/Bulb,$2.44,,,,,,,,,,,,,,,,,,,Envelope Saving,,,,,,,,,,,,,Simple Payback Envelope,,,,,,,,,,,,HVAC and Water heaters Equipment Savings,,,,,,,,,,,,,,Appliance and Lights Savings,,,,,,,,Other Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas ($/CCF),0.6,Area    (sf),,,,,Rvalue (f^2*F/But),,,,HVAC   System,,Water heater,Refrigerator,,,lights,,,"Equipment ,on or off",,,,,,,Utiity Analysis,,,,,,, Upgrade,,,,,,,,,,Envelope Heating  (therms) _ Saving,,,,,,Envelope Cooling (kWh)_ Saving,,,,,,Total Envelope ,Add Attic Insulation,,,Add Wall  Insulation,,,Add Triple-paned window,,,Add Basement Insulation,,,furnace gas_ Savings,,,,"AC,SEER   Savings",,,,Water heaters savings,,,,,Total  Equipment  Cost Savings ($),,,,,,,,Total House cost savings ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Number,Address,Floor ,Basement ,Attic,Window,Wall,Basement ,Attic,Windows,Walls,"eff, heating",SEER,"EF,WH",Energy_use_Refr kWh/yr,"EF,refrig","Size,refrig","No,lights,fluor",CFL bulb (W/lamp),Operating Hours_Lighting ,"WH,on","AC,On","Furn,pilot,on","Refrig,on","Duct open, basement (in^2)",Attic Penetration (in2),"No, Occupancy",Baseline Electric Intensity (kWh/sf),Total Elec Instensity (kWh/sf),Baseline_gas_int_kBTU/sf,Heating Gas Intensity (kBTU/sf),Total Gas Intensity (kBTU/sf),HeatingDegree Hour,CoolingDegree Hours,"Attic insul,R",Wall insul_R,Windows_R,Basement _R,"Furn,eff","EF,WH",Lighting LED (W/lamp),"EF,Refrig cubic feet•day/kWh","size,Refrig (cubic feet)","AC,SEER",Attic insul,Wall insul,Windows,Basement,Total Saving (therms/year),Cost Savings  Heating ($),Attic insul,Wall insul,Windows,Basement,Total Saving           kWh/year,Cost Savings Cooling ($), Cost Savings ($),Annual Financial Savings ($),Total Invest. Cost,Payback (years),Annual Financial Savings ($),Total Invest. Cost,Payback (years),Annual Financial Savings ($),Total Invest. Cost,Payback (years),Annual Financial Savings ($),Total Invest. Cost,Payback (years),fur_gas         Saving (therms),Cost Savings  furn ($),Total Invest. Cost,Payback (years),"AC,SEER   Saving kWh",Cost Savings  AC ($),Total Invest. Cost,Payback (years),Estimated Annual Cost  of Operation_WH  Current,Estimated Annual Cost of Operation_WH_Improved,Annual Cost WH_savings ,Total Invest. Cost,Payback (years),,Annual Electric Refrig-savings kWh,Annual Cost Savings  refrig  ($),Total Invest. Cost,Payback (years),Cost Savings Lighting  ($),Total Invest. Cost,Payback (years),,"WH,off",Payback (years),"Refrig,off",Payback (years),"AC,off","Attic,penetration",Duct open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,446 Lowes    ,960,888,960,119,1065,5,6,1,5,95%,14,0.8,407,22,20.6,16,14,4368,1,0,0,1,27,0,4,7,7,12,132,146,129899,4399,46,15,5,10,97.4%,0.96,9,24,18.9,26,175,200,130,121,626,$376,40,46,30,28,144,$16,$391,$109,"$1,344",12.31,$125,$639,5.11,$81,"$3,570",43.91,$76,"$6,216.00",81.96,15,$8.9,"$1,200.00",135,66,$7,"$2,300",315,$112,$94,$19,$949,51,$35,76,$8,$715,86,$38,$79,2.06,$473,$32,Immediate,$13,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 449  Lowes    ,952,528,644,120,584,5,6,2,4,80%,0,0.56,407,22,20.6,12,14,4368,1,0,0,1,0,0,3,5,5,118,153,272,98329,9233,46,15,5,10,97.4%,0.7,9,24,18.9,0,105,136,44,65,351,$210,0,0,0,0,0,$0,$210,$63,$902,14.26,$82,$350,4.28,$27,"$3,600",135.60,$39,"$3,696.00",94.92,63,$37.6,"$1,200.00",32,0,$0,$0,0,$161,$128,$32,$949,30,$70,76,$8,$715,86,$29,$59,2.06,$317,$46,Immediate,$13,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19, 451 Lowes    ,1124,636,632,137,1453,5,13,2,5,80%,0,0.55,407,22,20.6,18,14,4368,0,0,0,1,27,0,5,3,3,33,108,142,120518,25765,46,15,5,10,97.4%,0.7,9,24,18.9,0,55,301,62,96,513,$308,0,0,0,0,0,$0,$308,$33,$885,27.02,$181,$872,4.83,$37,"$4,110",110.63,$57,"$4,452.00",77.44,92,$55.0,"$1,200.00",22,0,$0,$0,0,$163,$128,$35,$949,27,$90,76,$8,$715,86,$43,$89,2.06,$450,$0,Immediate,$13,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,457 Lowes  ,1288,696,712,108,1632,5,13,2,4,80%,0,0.56,461,16,16.5,18,14,4368,1,0,0,1,27,0,6,4,4,0,106,106,228644,8931,46,15,5,10,97.4%,0.7,9,24,18.9,0,117,886,93,199,1294,$776,0,0,0,0,0,$0,$776,$70,$997,14.24,$531,$979,1.84,$56,"$3,240",58.31,$119,"$4,872.00",40.82,231,$138.7,"$1,200.00",9,0,$0,$0,0,$161,$128,$32,$949,30,$171,111,$12,$715,59,$43,$89,2.06,"$1,002",$46,Immediate,$15,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21, 512 Lowes    ,812,864,812,127,1025,5,13,2,4,78%,0,0.59,683,12,18,10,14,4368,1,1,0,0,0,0,2,6,7,135,79,212,58768,7599,46,15,5,10,97.4%,0.7,9,24,18.9,0,35,147,29,65,276,$165,0,0,0,0,0,$0,$165,$21,"$1,137",54.03,$88,$615,6.99,$17,"$3,810",221.21,$39,"$6,048.00",154.85,55,$32.9,"$1,200.00",36,0,$0,$0,0,$152,$128,$24,$949,40,$57,282,$31,$715,23,$24,$49,2.06,$277,$44,Immediate,$0,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22, 514  Lowes    ,1248,708,1248,105,839,5,10,2,4,78%,13,0.59,383,21,18.2,14,14,4368,1,1,0,1,0,0,2,1,1,56,66,123,94912,135307,46,15,5,10,97.4%,0.7,9,24,18.9,26,0,194,38,86,318,$191,1017,1658,328,737,3739,$411,$602,$112,"$1,747",15.62,$299,$503,1.69,$59,"$3,150",53.33,$133,"$4,956.00",37.33,63,$38.0,"$1,200.00",32,1870,$206,"$2,300",11,$152,$128,$24,$949,40,$268,50,$6,$715,129,$34,$69,2.06,$909,$44,Immediate,$12,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23, 516 Lowes    ,924,708,924,116,828,5,13,2,4,78%,13,0.55,844,9,17,14,14,4368,0,0,0,1,0,0,2,8,8,2,90,91,230112,8170,46,15,5,10,97.4%,0.7,9,24,18.9,26,156,464,103,209,932,$559,33,99,22,44,198,$22,$581,$97,"$1,294",13.28,$289,$497,1.72,$64,"$3,480",54.37,$130,"$4,956.00",38.06,186,$111.3,"$1,200.00",11,99,$11,"$2,300",211,$163,$128,$35,$949,27,$157,424,$47,$715,15,$34,$69,2.06,$818,$0,Immediate,$27,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3 Evanston Ave,1216,648,644,152,1468,5,18,2,5,78%,0,0.56,600,12,16.8,16,14,4368,1,0,0,1,0,0,4,7,7,60,87,148,96546,759,46,15,5,10,0.974,0.7,9,24,18.9,0,27,250,56,80,414,$248,0,0,0,0,0,$0,$248,$16,$902,54.65,$150,$881,5.88,$34,"$4,560",134.65,$48,"$4,536.00",94.26,82,$49.5,"$1,200.00",24,$0,$0,$0,$0,$161,$128,$32,$949,30,$82,245,$27,$715,27,$38,$79,2.06,$395,$46,Immediate,$19,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9 Evanston Ave,1252,684,680,114,1596,5,18,2,5,95%,10,0.56,600,12,16.8,20,14,4368,1,0,0,1,60,0,5,5,11,100,76,175,72867,4554,46,15,5,10,0.974,0.7,9,24,18.9,26,18,168,26,52,265,$159,11,100,16,31,157,$17,$176,$12,$952,79.53,$112,$958,8.55,$17,"$3,420",195.96,$35,"$4,788.00",137.17,7,$3.9,"$1,200.00",306,$97,$11,"$2,300",$216,$161,$128,$32,$949,30,$47,245,$27,$715,27,$48,$99,2.06,$298,$46,Immediate,$19,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26 Evanston Ave,975,648,560,103,1517,5,15,2,5,78%,0,0.56,600,12,16.8,12,14,4368,1,0,1,1,63,72,4,5,5,18,75,93,122169,40300,46,15,5,10,0.974,0.7,9,24,18.9,0,38,327,48,101,515,$309,0,0,0,0,0,$0,$309,$23,$784,34.25,$196,$910,4.64,$29,"$3,090",106.41,$61,"$4,536.00",74.49,103,$61.5,"$1,200.00",20,$0,$0,$0,$0,$161,$128,$32,$949,30,$94,245,$27,$715,27,$29,$59,2.06,$458,$46,Immediate,$19,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
