"Area.Floor","Basement.Area","Attic.Area","Window.Area","Wall.Area","Attic.Rvalue","Windows.Rvalue","Walls.Rvalue","Furnace.eff","AC.SEER","Water.Heater.eff","Refrig.Energy.Year","Refrig.EF","Refrig.Size","Lights.Num.Fluor","Water.Heater.On.Summer","AC.On.Summer","Furnace.Pilot.On.Summer","Refrig.On.Summer","Duct.Open.Area.Basement.in2","Attic.Penetration.in2","Occupancy.Number","Electric.Baseline.Intensity.kW.sf","ElectricTotal.Intensity.kW.sf","Gas.Baseline.kBTU.sf","Gas.Heating.kBTU.sf","Gas.Total.Intensity.kBTU.sf","Heating.Degree.Hours","Cooling.Degree.Hours"
1144,672,1144,100,1580,32,2,14,0.78,0,0.86,479,17,18.2,20,1,0,0,1,0,144,6,1,1,131,101.4324049,231,62996,135307
1144,708,1144,165,1605,32,2,14,0.92,13,0.59,479,17,18.2,24,1,0,0,1,0,72,5,1,1,0,0,0,145077,24993
1144,708,1144,165,1605,32,2,14,0.92,10,0.59,479,17,18.2,24,1,0,0,1,0,72,5,1,1,0,0,0,145077,24993
1144,708,1144,165,1605,32,2,14,0.92,10,0.59,479,17,18.2,10,1,1,0,1,0,144,5,1,1,0,0,0,145077,24993
1144,708,1144,173,1597,32,2,14,0.92,10,0.59,479,17,18.2,10,1,1,0,1,27,144,5,1,1,0,0,0,145077,24993
956,864,956,256,896,13,2,5,0.65,0,0.56,407,22,20.5,16,1,0,0,1,0,0,5,5,5,47,65,111,68217,59587
880,720,764,122,838,15,2,5,0.78,0,0.59,407,22,20.5,16,1,0,1,1,27,0,3,10,17,0,0,0,145077,24993
1334,780,600,168,1782,22,2,5,0.95,10,0.83,407,22,20.5,16,1,0,0,1,0,0,4,8,19,0,0,0,145077,24993
1334,564,600,173,1237,24,2,5,0.9,0,0.83,407,22,20.5,16,0,0,0,1,27,12,5,8,14,31,22,53,68802,2966
1144,576,572,159,1281,20,2,5,0.95,16,0.59,407,22,20.5,18,1,0,0,1,0,0,6,6,6,131,102,231,60623,5168
1708,744,900,200,1660,18,2,5,0.95,10,0.63,407,22,20.5,20,1,1,0,0,27,0,5,5,5,1,100,101,218253,862
1240,672,668,187,1493,13,2,4,0.95,16,0.83,407,22,20.5,20,0,1,0,1,27,0,5,55,55,212,1025,1257,184241,40301
1277,660,572,153,1497,6,2,5,0.95,0,0.63,600,12,18,20,1,0,0,1,0,0,6,55,55,191,1052,1249,108873,135307
1336,720,764,123,1677,13,2,5,0.78,13,0.8,407,22,20.5,18,0,0,0,0,27,0,2,8,8,944,1312,2268,96686,135307
1286,732,714,163,1667,22,2,14,0.7,0,0.6,407,22,20.5,22,0,0,1,1,0,0,5,6,6,21,99,121,181192,606
1304,696,732,184,1556,13,2,5,0.95,14.5,0.83,461,16,16.5,20,0,0,1,1,0,0,5,4,4,53,100,153,100764,7370
1270,720,698,140,1660,13,2,5,0.95,13,0.8,407,22,20.5,18,0,0,0,1,27,0,6,10,18,59,40,99,67551,2918
1336,720,764,189,1611,10,2,5,0.7,0,0.63,509,18,20.5,18,0,0,0,0,27,0,6,8,8,40,37,77,70706,6228
1179,576,607,168,1272,10,2,5,0.95,10,0.63,479,19,20.5,16,0,0,0,1,27,0,5,8,10,38,34,72,104222,1427
1228,660,656,142,1508,6,2,5,0.95,10,0.63,407,22,20.5,14,0,0,0,1,0,0,5,8,8,35,36,70,58571,135307
1124,720,656,104,1696,10,2,5,0.92,0,0.6,407,22,20.5,8,0,0,0,0,0,16,3,7,7,30,37,67,105527,5513
1238,744,688,164,1696,18,2,5,0.8,0,0.59,407,22,20.5,16,1,0,0,1,27,0,6,52,52,287,588.9227131,881,100023,135307
1600,744,800,137,1723,18,2,5,0.78,0,0.59,430,21,20.43,22,1,0,1,1,27,0,4,40,40,764,726.3155758,1479,65952,3351
1219,684,635,172,1538,18,2,4,0.95,13,0.59,407,22,20.5,20,1,1,0,1,27,0,4,6,6,56,63.51009356,118,59757,14058
1632,792,816,195,1785,18,2,4,0.95,13,0.56,461,16,16.5,20,1,1,0,1,0,0,6,6,6,42,58.5075576,101,98925,14058
1456,672,728,230,1450,18,2,4,0.95,10,0.59,461,16,16.5,20,1,1,0,1,0,0,6,6,6,29,79.89946827,110,103264,135307
1560,696,780,230,1740,18,2,5,0.78,0,0.59,461,16,16.5,20,0,0,0,0,0,0,6,5,5,82,80.63485862,161,56311,135240
1464,696,712,222,1518,22,2,4,0.95,16,0.56,407,22,20.5,18,1,1,0,1,27,0,6,8,8,27,80.61410518,108,109737,18595
812,552,528,130,606,20,2,4,0.8,14,0.56,479,17,18.2,14,0,0,0,0,0,0,3,8,8,16,173.792459,193,195350,52952
1140,744,760,176,1684,18,2,4,0.8,0,0.56,461,16,16.5,20,0,0,0,1,27,0,6,5,5,45,105.5491055,151,113795,1173
1482,864,928,189,1971,15,2,4,0.9,0,0.81,407,22,20.5,18,1,0,0,1,27,0,6,6,6,15,142.9866087,161,186314,1349
1132,624,694,143,1417,15,2,4,0.85,0,0.55,407,22,20.5,14,1,0,0,1,27,144,6,7,12,26,113.7785711,140,219591,3872
1120,648,560,123,1497,15,2,4,1,0,0.59,407,22,20.5,22,1,0,1,1,0,0,6,4,8,17,132.9894396,148,250609,3198
1120,648,560,200,1420,13,2,4,0.95,13,0.55,461,16,16.5,14,1,1,0,1,27,0,6,6,6,53,97.20117238,150,108638,14058
1152,1152,1392,154,2726,6,2,4,0.6,0,0.56,407,22,20.5,16,1,0,0,1,72,0,5,6,6,117,92.11230625,211,88385,5244
1720,840,860,281,1819,6,2,4,0.8,0,0.59,407,22,20.5,18,1,0,0,1,0,84,5,3,6,63,51.9195802,114,70869,5543
1356,768,838,258,1662,6,2,4,0.8,0,0.55,479,17,18.2,20,1,0,0,1,0,0,6,4,4,41,122.8542442,165,104346,7463
2050,888,1138,247,1973,20,2,5,0.95,10,0.63,630,13,18.5,22,1,1,0,1,0,128,5,5,5,13,54.79591994,68,116844,7840
