YRMODAMI,Wind.Dir,Wind.Speed.m.per.s,Visibility,Temp.Outside.F,Temp.Dewpoint.F
2013092616,NA,0,10,77,57
2013092617,100,5,10,76,56
2013092618,100,5,10,76,56
2013092618,110,6,10,78,53
2013092619,NA,0,10,80,50
2013092620,20,9,10,80,48
2013092621,20,9,10,80,48
2013092621,50,7,10,79,47
2013092622,60,6,10,73,48
2013092623,40,3,10,70,46
2013092700,40,3,10,70,46
2013092700,40,6,10,67,47
2013092701,60,9,10,61,49
2013092702,60,10,10,61,48
2013092703,60,10,10,61,48
2013092703,60,9,10,59,47
2013092704,70,5,10,56,46
2013092704,NA,NA,NA,NA,NA
2013092705,NA,0,10,55,46
2013092706,NA,0,10,55,46
2013092706,50,3,10,56,46
2013092707,30,5,10,51,45
2013092708,30,3,10,52,46
2013092709,30,3,10,52,46
2013092709,30,3,10,51,46
2013092710,340,3,10,49,45
2013092711,330,3,10,49,46
2013092712,330,3,10,49,46
2013092712,340,3,10,54,49
2013092713,70,3,10,62,50
2013092714,NA,0,10,66,50
2013092715,NA,0,10,66,50
2013092715,990,3,10,72,51
2013092716,990,3,10,76,49
2013092717,NA,0,10,77,45
2013092718,NA,0,10,77,45
2013092718,NA,0,10,79,46
2013092719,70,6,10,79,45
2013092720,NA,0,10,80,40
2013092721,NA,0,10,80,40
2013092721,40,5,10,78,42
2013092722,70,5,10,73,45
2013092723,NA,0,10,71,47
2013092800,NA,0,10,71,47
2013092800,70,6,10,66,49
2013092801,80,7,10,63,50
2013092802,90,6,10,62,50
2013092803,90,6,10,62,50
2013092803,110,7,10,61,51
2013092804,110,6,10,59,51
2013092804,NA,NA,NA,NA,NA
2013092805,80,6,10,56,50
2013092806,80,6,10,56,50
2013092806,90,6,10,56,51
2013092807,100,5,10,56,51
2013092808,110,5,10,56,51
2013092809,110,5,10,56,51
2013092809,120,5,10,55,50
2013092810,130,5,10,54,50
2013092811,130,5,9.1,53,50
2013092812,130,5,8.8,53,50
2013092812,140,7,10,59,54
2013092813,140,5,10,65,54
2013092814,180,7,10,71,55
2013092815,180,7,10,71,55
2013092815,200,8,10,74,55
2013092816,160,8,10,77,53
2013092817,160,8,10,78,50
2013092818,160,8,10,78,50
2013092818,210,9,10,79,50
2013092819,190,10,10,78,50
2013092820,190,8,10,79,49
2013092821,190,8,10,79,49
2013092821,170,6,10,77,50
2013092822,170,6,10,76,52
2013092823,160,5,10,72,52
2013092900,160,5,10,72,52
2013092900,150,7,10,67,53
2013092901,140,10,10,65,54
2013092902,140,9,10,64,54
2013092903,140,9,10,64,54
2013092903,150,8,10,64,54
2013092904,170,5,10,63,53
2013092904,NA,NA,NA,NA,NA
2013092905,170,7,10,62,54
2013092906,170,7,10,62,54
2013092906,170,7,10,63,54
2013092907,180,7,10,62,55
