House.Number,Address,Area.Floor,Basement.Area,Attic.Area,Window.Area,Wall.Area,Basement.Rvalue,Attic.Rvalue,Windows.Rvalue,Walls.Rvalue,Furnace.eff,AC.SEER,Water.Heater.eff,Refrig.Energy.Year,Refrig.EF,Refrig.Size,Lights.Num.Fluor,Lights.Watts.bulb,Lights.Operating.Hours,Water.Heater.On.Summer,AC.On.Summer,Furnace.Pilot.On.Summer,Refrig.On.Summer,Duct.Open.Area.Basement.in2,Attic.Penetration.in2,Occupancy.Number,Electric.Baseline.Intensity.kW.sf,ElectricTotal.Intensity.kW.sf,Gas.Baseline.kBTU.sf,Gas.Heating.kBTU.sf,Gas.Total.Intensity.kBTU.sf,Heating.Degree.Hours,Cooling.Degree.Hours
121,418 kiefaber St,1334,852,894,109,1027,5,18,2,5,80%,11.3,0.56,407,22,20.5,16,14,4368,1,0,0,1,27,0,6,6,6,37,85.74626134,123,105815,15941
122,422 Kiefaber St,1147,684,684,148,1562,5,20,2,4,78%,0,0.7,479,19,20.5,16,14,4368,1,0,0,1,0,0,4,5,9,122,85.1270977,206,63347,35644
123,423 Kiefaber St,1213,684,822,107,1603,5,6,2,4,90%,16,0.56,600,12,16.5,12,14,4368,1,0,0,0,27,0,5,7,7,35,84.65875238,120,99730,135301
124,424 Kiefaber St,1212,672,618,131,1549,5,18,2,5,92%,0,0.57,479,17,18.2,16,14,4368,0,0,0,1,0,144,4,4,4,33,84.98547472,119,113641,3538
125,425 Kiefaber St,1490,804,826,157,1853,5,15,2,5,95%,13,0.55,461,16,16.5,14,14,4368,1,1,0,1,0,81,5,5,5,36,55.37918997,90,65214,14058
126,426 Kiefaber St,1088,600,544,121,1379,5,15,2,5,95%,13,0.81,407,22,20.5,14,14,4368,0,0,0,0,27,0,4,6,6,10,79.98750217,92,133637,21181
127,428 Kiefaber St,944,696,632,148,1592,5,15,2,4,95%,0,0.59,479,17,18.2,12,14,4368,1,0,0,1,0,0,5,8,8,46,105.387645,152,116288,135307
128,429 Kierfaber St ,1500,888,830,220,2000,5,22,2,5,80%,16,0.63,461,16,16.5,28,14,4368,1,1,0,1,0,144,6,8,8,57,80.3140543,136,62516,135307
129,431 Kierfaber St ,1500,888,830,220,2000,5,22,2,5,80%,16,0.63,461,16,16.5,28,14,4368,1,1,0,1,0,144,6,10,18,0,0,0,145077,24993
130,437 Kierfaber St ,1500,888,830,220,2000,5,22,2,5,80%,16,0.63,461,16,16.5,28,14,4368,1,1,0,1,0,144,6,7,9,0,0,0,145077,24993
131,440 Kiefaber St,1432,792,872,170,1810,5,13,2,4,78%,0,0.59,461,16,16.5,24,14,4368,1,0,0,1,0,0,5,5,7,18,173.5461418,190,243796,6847
132,441 Kierfaber St ,1200,720,688,147,1653,5,15,2,5,95%,13,0.59,407,22,20.5,14,14,4368,1,1,0,1,27,0,5,6,6,35,68.67001169,104,115272,1620
133,443 Kierfaber St ,1100,780,560,92,1858,5,15,2,4,80%,0,0.59,600,12,16.5,16,14,4368,1,0,0,1,27,0,5,7,7,48,130.4687633,180,120572,5673
134,447 Kierfaber St ,1000,708,756,121,1649,5,13,2,4,95%,10,0.59,479,17,18.2,14,14,4368,1,1,0,1,27,0,4,6,6,81,115.1168781,198,97514,26809
135,448 Kiefaber St,1512,864,792,122,2038,5,15,2,4,95%,0,0.59,407,22,20.5,16,14,4368,1,0,0,1,0,576,4,1,1,26,66.53337562,93,109793,135307
136,449Kierfaber St ,1200,720,600,134,1666,5,22,2,4,95%,13,0.81,407,22,20.5,12,14,4368,1,0,0,1,0,288,4,5,14,3,129.233084,131,237132,6934
137,452 Kiefaber St,1224,684,690,120,1590,5,15,2,4,78%,0,0.59,407,22,20.5,20,14,4368,1,0,0,1,0,0,6,6,6,37,118.7558234,156,110641,1712
138,453 Kiefaber St,1300,636,700,139,1451,5,15,2,4,80%,11.3,0.59,407,22,20.5,18,14,4368,0,1,0,0,71.5,0,4,5,5,37,91.73713109,130,113605,14058
139,454 Kiefaber St,952,648,560,94,1526,5,10,2,4,78%,0,0.59,479,17,18.2,14,14,4368,1,0,1,1,0,0,3,7,11,121,90.86816773,210,64847,1209
140,455 Kiefaber St,1200,684,600,87,1623,5,10,2,4,95%,16,0.59,407,22,20.5,14,14,4368,1,0,0,1,0,72,4,6,6,41,79.20151468,121,106736,5081
141,456Kierfaber St ,924,684,588,90,1620,5,6,2,4,95%,16,0.59,587,20,18.5,16,14,4368,1,0,0,1,27,0,4,8,8,27,129.1027385,159,181192,2392
142,460 Kiefaber St,1144,648,572,170,1450,5,22,2,4,80%,11.3,0.59,407,22,20.5,18,14,4368,1,1,0,1,27,0,4,6,6,41,93.04498656,134,118980,478
