House.No,House.Address,Area.Floor.sf,E.Ele.kWh.1,E.Ele.kWh.2,E.Ele.kWh.3,E.Ele.kWh.4,E.Ele.kWh.5,E.Ele.kWh.6,E.Ele.kWh.7,E.Ele.kWh.8,E.Ele.kWh.9,E.Ele.kWh.10,E.Ele.kWh.11,E.Ele.kWh.12,E.Ele.kWh.13,E.Ele.kWh.14,E.Ele.kWh.15,E.Ele.kWh.16,E.Ele.kWh.17,E.Ele.kWh.18,E.Ele.kWh.19,E.Ele.kWh.20,E.Ele.kWh.21,E.Ele.kWh.22,E.Ele.kWh.23,E.Gas.Mcf.1,E.Gas.Mcf.2,E.Gas.Mcf.3,E.Gas.Mcf.4,E.Gas.Mcf.5,E.Gas.Mcf.6,E.Gas.Mcf.7,E.Gas.Mcf.8,E.Gas.Mcf.9,E.Gas.Mcf.10,E.Gas.Mcf.11,E.Gas.Mcf.12,E.Gas.Mcf.13,E.Gas.Mcf.14,E.Gas.Mcf.15,E.Gas.Mcf.16,E.Gas.Mcf.17,E.Gas.Mcf.18,E.Gas.Mcf.19,E.Gas.Mcf.20,E.Gas.Mcf.21,E.Gas.Mcf.22,E.Gas.Mcf.23
50,341 Stonemill Rd,1152,1049,625,605,419,771,637,572,490,153,164,569,1130,639,628,705,419,962,822,736,468,592,410,853,NA,NA,NA,20.4,31.3,18.3,11.7,4.4,1,0.3,0.1,2.1,4,9.9,17.3,21.1,23.7,19.3,10.4,4.1,0.6,0.6,0.6
51,403 Stonemill Rd,1632,786,778,763,703,792,826,915,612,119,164,126,1015,738,618,536,235,470,417,524,273,122,208,225,NA,NA,NA,37.9,57.1,34.4,20.8,6.3,1.5,1.5,1.1,1.5,2.3,15.6,32.7,36.8,45,35,13.8,4.9,1.7,0.4,0
52,406 Stonemill Rd,1144,1168,1423,1405,765,1721,1402,1389,740,198,325,660,1467,958,1087,1227,751,1489,1256,1172,826,213,252,495,NA,NA,NA,15.4,22.2,12.9,7.5,2,1.4,1,0.7,0.6,2.9,8,13.5,17.7,19.4,15.1,6.8,2.1,0.7,0.7,0.7
53,408 Stonemill Rd,1144,1236,883,858,590,1022,855,886,820,688,362,476,1156,895,751,754,545,793,700,616,393,154,523,891,NA,NA,NA,11.3,18.4,11.6,7.4,2.6,0.7,0.5,0.9,2,3,5.8,10.5,13.2,15.4,12.3,7.1,2.8,0.6,0.7,0.6
54,410 Stonemill Rd,1144,1146,885,862,658,1079,845,1121,915,989,589,762,1455,895,603,824,573,844,699,767,436,836,832,846,NA,NA,NA,10.8,16.3,9,4.5,1.8,0.6,0.5,0.7,2,4.1,7.5,12,13.6,18.8,14.4,8.5,2.8,0.7,0.7,0.6
55,412 Stonemill Rd,1144,1051,654,597,590,859,728,926,696,470,495,1379,1955,1076,876,759,541,928,791,998,1111,609,552,1238,NA,NA,NA,11.7,18,10.9,6.8,2.1,0.6,0.4,1.5,1.9,2.4,4.6,7.9,11.3,11.8,9.4,5.6,2,0.5,0.4,0.7
56,416 Stonemill Rd,1144,1144,825,761,532,939,780,799,646,398,395,823,1391,631,629,721,516,803,692,524,345,622,620,1390,NA,NA,NA,10.4,15,10.1,6.4,1.9,0.6,0.2,1,2,2.8,5.8,10.2,11.4,13.7,12.2,6.7,2.5,0.3,0.5,0.8
57,"407  Lowes St,   ",1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13.1,8.8,6.4,3.1,0.1,0,0,1.4,2,4.8,8.6,7.7,11.5,9.3,5.6,2.5,0,0.1,0
58,"411  Lowes St,   ",1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,14.9,10,7.4,1.9,0,0,0.1,1,1.4,4.5,7.1,8.6,10.6,9.1,4.7,1.9,0,0.2,0.2
59," 415  Lowes St,    ",1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,13.7,9.3,6.2,2.2,0,0.1,0,0,0.1,4.6,8.2,9.2,10.6,8.1,3.8,1.2,0.1,0,0.1
